SaO2sup Pa_CO2 P_a Vmca_d TOI_d HbT_d CCO_d
0.98362 52.074 84.537 60.999 61.211 -0.23376 0.080549
0.98378 52.138 85.084 60.806 61.146 -0.33278 0.09255
0.98394 52.206 85.431 60.544 61.064 -0.4291 0.10603
0.98412 52.274 85.553 60.217 60.967 -0.51689 0.12032
0.98433 52.339 85.443 59.834 60.861 -0.59094 0.1347
0.98457 52.399 85.114 59.402 60.749 -0.64695 0.14845
0.98485 52.452 84.592 58.932 60.637 -0.68183 0.16086
0.98516 52.499 83.921 58.435 60.528 -0.69383 0.17132
0.9855 52.54 83.151 57.921 60.429 -0.68268 0.17934
0.98586 52.575 82.34 57.401 60.341 -0.64954 0.18457
0.98622 52.605 81.541 56.884 60.27 -0.59693 0.18684
0.98656 52.633 80.803 56.379 60.217 -0.5285 0.18615
0.98686 52.658 80.166 55.893 60.183 -0.44879 0.18268
0.98712 52.681 79.656 55.431 60.169 -0.36295 0.1768
0.98731 52.703 79.283 54.997 60.174 -0.27634 0.16898
0.98742 52.724 79.046 54.594 60.197 -0.19421 0.15984
0.98745 52.743 78.934 54.222 60.236 -0.12136 0.15003
0.9874 52.758 78.923 53.881 60.286 -0.061863 0.14025
0.98726 52.771 78.986 53.57 60.346 -0.01881 0.13114
0.98704 52.78 79.094 53.289 60.41 0.0058456 0.12328
0.98676 52.784 79.217 53.036 60.475 0.01138 0.11715
0.98643 52.785 79.33 52.809 60.539 -0.0017051 0.11307
0.98606 52.782 79.411 52.609 60.597 -0.031757 0.11121
0.98567 52.776 79.444 52.436 60.65 -0.076124 0.11156
0.98528 52.769 79.419 52.291 60.694 -0.13137 0.11397
0.98491 52.762 79.333 52.176 60.731 -0.19354 0.11813
0.98456 52.757 79.186 52.094 60.761 -0.25841 0.12362
0.98425 52.753 78.987 52.05 60.784 -0.32183 0.12994
0.98399 52.753 78.743 52.046 60.803 -0.37996 0.13655
0.98378 52.757 78.467 52.089 60.82 -0.42954 0.1429
0.98361 52.764 78.173 52.183 60.837 -0.46807 0.1485
0.98348 52.774 77.875 52.332 60.857 -0.494 0.15292
0.98338 52.785 77.585 52.542 60.88 -0.50674 0.15585
0.98331 52.796 77.316 52.816 60.908 -0.50672 0.15709
0.98324 52.806 77.078 53.155 60.94 -0.49533 0.15658
0.98317 52.813 76.881 53.562 60.976 -0.47477 0.15439
0.98309 52.815 76.732 54.035 61.014 -0.4479 0.1507
0.98298 52.813 76.637 54.57 61.051 -0.41799 0.1458
0.98284 52.807 76.603 55.164 61.086 -0.38854 0.14006
0.98267 52.797 76.635 55.809 61.113 -0.36297 0.13387
0.98247 52.784 76.739 56.495 61.131 -0.34443 0.12765
0.98226 52.77 76.919 57.211 61.136 -0.33552 0.1218
0.98203 52.757 77.182 57.942 61.127 -0.33819 0.11665
0.98182 52.747 77.531 58.673 61.102 -0.35354 0.11247
0.98162 52.74 77.968 59.388 61.061 -0.3818 0.10946
0.98146 52.739 78.493 60.07 61.006 -0.42228 0.10769
0.98136 52.743 79.101 60.703 60.937 -0.47347 0.10717
0.98132 52.751 79.783 61.269 60.86 -0.5331 0.10779
0.98135 52.761 80.527 61.755 60.777 -0.59836 0.10938
0.98145 52.772 81.313 62.15 60.694 -0.66603 0.11171
0.98162 52.779 82.117 62.444 60.615 -0.73279 0.11452
0.98185 52.781 82.912 62.633 60.545 -0.79537 0.11752
0.98212 52.773 83.667 62.716 60.489 -0.85082 0.12046
0.98242 52.753 84.35 62.696 60.448 -0.89669 0.1231
0.98274 52.718 84.932 62.58 60.425 -0.93121 0.12526
0.98304 52.667 85.386 62.381 60.42 -0.95337 0.12681
0.98333 52.599 85.693 62.112 60.431 -0.96298 0.12772
0.98357 52.515 85.843 61.791 60.457 -0.9607 0.12799
0.98375 52.416 85.835 61.436 60.493 -0.94791 0.12771
0.98385 52.306 85.679 61.065 60.535 -0.92665 0.12699
0.98388 52.188 85.394 60.697 60.579 -0.89941 0.12601
0.98382 52.065 85.009 60.348 60.62 -0.86895 0.12494
0.98367 51.941 84.557 60.031 60.655 -0.83813 0.12396
0.98343 51.82 84.074 59.755 60.682 -0.80962 0.12322
0.98311 51.704 83.598 59.526 60.697 -0.78576 0.12285
0.98272 51.595 83.161 59.344 60.701 -0.76838 0.1229
0.98229 51.495 82.791 59.206 60.694 -0.75867 0.12339
0.98184 51.404 82.505 59.104 60.677 -0.7571 0.12426
0.9814 51.322 82.311 59.028 60.652 -0.76342 0.12543
0.98101 51.247 82.207 58.966 60.619 -0.77666 0.12673
0.98068 51.179 82.178 58.901 60.583 -0.79523 0.12798
0.98046 51.117 82.204 58.822 60.543 -0.81706 0.12899
0.98037 51.059 82.255 58.715 60.502 -0.83974 0.12956
0.98043 51.007 82.299 58.57 60.459 -0.86069 0.1295
0.98065 50.96 82.305 58.379 60.414 -0.87739 0.12869
0.98102 50.919 82.242 58.138 60.367 -0.88751 0.12702
0.98153 50.886 82.089 57.847 60.316 -0.88909 0.12448
0.98217 50.861 81.832 57.51 60.261 -0.88068 0.12109
0.9829 50.848 81.468 57.134 60.2 -0.86138 0.11693
0.98369 50.846 81.004 56.727 60.132 -0.83096 0.11215
0.98449 50.856 80.458 56.302 60.057 -0.78977 0.10692
0.98526 50.88 79.858 55.869 59.975 -0.73876 0.10145
0.98597 50.916 79.235 55.439 59.887 -0.6794 0.095948
0.98658 50.964 78.626 55.023 59.793 -0.61353 0.090599
0.98706 51.022 78.067 54.629 59.697 -0.54327 0.085571
0.9874 51.088 77.591 54.261 59.6 -0.47087 0.080991
0.9876 51.16 77.225 53.921 59.506 -0.39858 0.076938
0.98765 51.235 76.991 53.609 59.417 -0.32854 0.073439
0.98757 51.313 76.901 53.321 59.337 -0.26269 0.070479
0.98737 51.39 76.958 53.053 59.269 -0.20266 0.068004
0.98707 51.466 77.158 52.797 59.215 -0.14977 0.065938
0.98672 51.539 77.487 52.548 59.176 -0.10498 0.064194
0.98632 51.61 77.927 52.3 59.154 -0.068912 0.062699
0.98591 51.677 78.452 52.049 59.149 -0.041895 0.061399
0.98552 51.74 79.034 51.794 59.16 -0.023984 0.060281
